Year;Bank;ROE;ROA;ROE over eller under Target;ROA over eller under target
2018;Danske Bank;11,9;0,6;0;0
2017;Danske Bank;15,7;0,7;1;0
2016;Danske Bank;15,5;0,7;1;0
2015;Danske Bank;11,3;0,5;0;0
2014;Danske Bank;5,3;0,2;0;0
2013;Danske Bank;7,1;0,3;0;0
2012;Danske Bank;6,5;0,2;0;0
2011;Danske Bank;3,6;0,1;0;0
2010;Danske Bank;6,3;0,2;0;0
2009;Danske Bank;4,8;0,1;0;0
2008;Danske Bank;2,2;0,1;0;0
2007;Danske Bank;19,4;0,6;1;0
2006;Danske Bank;21,9;0,7;1;0
2005;Danske Bank;25,0;0,8;1;0
2004;Danske Bank;20,3;0,7;1;0
2003;Danske Bank;21,6;0,7;1;0
2002;Danske Bank;19,1;0,7;1;0
2001;Danske Bank;21,1;0,8;1;0
2000;Danske Bank;21,5;0,8;1;0
1999;Danske Bank;21,1;1,0;1;0
2018;Jyske Bank;9,1;0,5;0;0
2017;Jyske Bank;11,9;0,7;0;0
2016;Jyske Bank;12,5;0,7;0;0
2015;Jyske Bank;11,1;0,6;0;0
2014;Jyske Bank;13,8;0,8;1;0
2013;Jyske Bank;13,9;0,9;1;0
2012;Jyske Bank;5,8;0,3;0;0
2011;Jyske Bank;4,4;0,2;0;0
2010;Jyske Bank;7,8;0,4;0;0
2009;Jyske Bank;5,4;0,3;0;0
2008;Jyske Bank;12,6;0,6;0;0
2007;Jyske Bank;23,5;1,2;1;1
2006;Jyske Bank;29,4;1,9;1;1
2005;Jyske Bank;24,7;1,6;1;1
2004;Jyske Bank;25,1;1,7;1;1
2003;Jyske Bank;25,0;1,3;1;1
2002;Jyske Bank;16,9;0,8;1;0
2001;Jyske Bank;14,8;0,7;1;0
2000;Jyske Bank;22,2;1,1;1;1
1999;Jyske Bank;24,1;1,5;1;1
2018;Syd Bank;12,0;1,0;0;1
2017;Syd Bank;16,5;1,4;1;1
2016;Syd Bank;16,1;1,3;1;1
2015;Syd Bank;13,0;1,0;0;1
2014;Syd Bank;12,3;0,9;0;0
2013;Syd Bank;1,7;0,1;0;0
2012;Syd Bank;6,4;0,4;0;0
2011;Syd Bank;3,1;0,2;0;0
2010;Syd Bank;6,0;0,4;0;0
2009;Syd Bank;12,3;0,7;0;0
2008;Syd Bank;11,8;0,6;0;0
2007;Syd Bank;34,6;1,8;1;1
2006;Syd Bank;36,2;1,9;1;1
2005;Syd Bank;27,9;1,5;1;1
2004;Syd Bank;22,5;1,3;1;1
2003;Syd Bank;26,5;1,5;1;1
2002;Syd Bank;17,4;0,9;1;0
2001;Syd Bank;18,4;1,0;1;0
2000;Syd Bank;22,1;1,2;1;1
1999;Syd Bank;16,9;0,9;1;0
2018;Nykredit Bank;10,3;1,2;0;1
2017;Nykredit Bank;22,0;2,2;1;1
2016;Nykredit Bank;4,8;0,4;0;0
2015;Nykredit Bank;14,0;1,0;1;0
2014;Nykredit Bank;-17,6;-1,0;0;0
2013;Nykredit Bank;0,6;0,0;0;0
2012;Nykredit Bank;0,5;0,0;0;0
2011;Nykredit Bank;4,2;0,3;0;0
2010;Nykredit Bank;4,0;0,2;0;0
2009;Nykredit Bank;-53,4;-2,4;0;0
2008;Nykredit Bank;-28,8;-1,0;0;0
2007;Nykredit Bank;26,5;0,9;1;0
2006;Nykredit Bank;34,8;1,2;1;1
2005;Nykredit Bank;17,8;0,8;1;0
2004;Nykredit Bank;14,0;0,6;1;0
2003;Nykredit Bank;14,8;0,6;1;0
2002;Nykredit Bank;5,2;0,2;0;0
2001;Nykredit Bank;6,6;0,3;0;0
2000;Nykredit Bank;5,0;0,2;0;0
1999;Nykredit Bank;2,5;0,1;0;0
2018;Spar Nord;12,0;1,3;0;1
2017;Spar Nord;14,2;1,6;1;1
2016;Spar Nord;12,5;1,3;0;1
2015;Spar Nord;14,4;1,4;1;1
2014;Spar Nord;10,4;0,9;0;0
2013;Spar Nord;10,7;0,9;0;0
2012;Spar Nord;5,5;0,4;0;0
2011;Spar Nord;7,7;0,5;0;0
2010;Spar Nord;3,1;0,2;0;0
2009;Spar Nord;3,6;0,2;0;0
2008;Spar Nord;3,0;0,2;0;0
2007;Spar Nord;21,4;1,4;1;1
2006;Spar Nord;30,9;2,0;1;1
2005;Spar Nord;23,3;1,5;1;1
2004;Spar Nord;19,0;1,2;1;1
2003;Spar Nord;16,3;1,0;1;0
2002;Spar Nord;8,3;0,5;0;0
2001;Spar Nord;3,5;0,2;0;0
2000;Spar Nord;22,2;1,3;1;1
1999;Spar Nord;14,5;0,9;1;0
2018;Arbejdernes Landsbank;5,0;0,7;0;0
2017;Arbejdernes Landsbank;21,0;2,8;1;1
2016;Arbejdernes Landsbank;9,4;1,2;0;1
2015;Arbejdernes Landsbank;7,0;0,8;0;0
2014;Arbejdernes Landsbank;7,3;0,8;0;0
2013;Arbejdernes Landsbank;13,7;1,4;0;1
2012;Arbejdernes Landsbank;16,6;1,6;1;1
2011;Arbejdernes Landsbank;0,1;0,0;0;0
2010;Arbejdernes Landsbank;4,3;0,4;0;0
2009;Arbejdernes Landsbank;4,1;0,4;0;0
2008;Arbejdernes Landsbank;-3,0;-0,3;0;0
2007;Arbejdernes Landsbank;8,1;1,0;0;0
2006;Arbejdernes Landsbank;14,0;1,8;1;1
2005;Arbejdernes Landsbank;12,6;1,5;0;1
2004;Arbejdernes Landsbank;12,3;1,4;0;1
2003;Arbejdernes Landsbank;18,8;2,3;1;1
2002;Arbejdernes Landsbank;8,2;1,0;0;0
2001;Arbejdernes Landsbank;9,4;1,0;0;1
2000;Arbejdernes Landsbank;11,9;1,2;0;1
1999;Arbejdernes Landsbank;5,1;0,5;0;0
2018;Ringkjøbing landbobank ;14,8;2,2;1;1
2017;Ringkjøbing landbobank ;19,9;2,9;1;1
2016;Ringkjøbing landbobank ;19,3;2,8;1;1
2015;Ringkjøbing landbobank ;18,4;2,7;1;1
2014;Ringkjøbing landbobank ;19,6;2,9;1;1
2013;Ringkjøbing landbobank ;16,9;2,5;1;1
2012;Ringkjøbing landbobank ;17,4;2,5;1;1
2011;Ringkjøbing landbobank ;15,8;2,1;1;1
2010;Ringkjøbing landbobank ;15,5;1,9;1;1
2009;Ringkjøbing landbobank ;15,9;1,7;1;1
2008;Ringkjøbing landbobank ;17,8;1,7;1;1
2007;Ringkjøbing landbobank ;26,1;2,5;1;1
2006;Ringkjøbing landbobank ;35,5;3,7;1;1
2005;Ringkjøbing landbobank ;26,2;3,2;1;1
2004;Ringkjøbing landbobank ;24,4;3,4;1;1
2003;Ringkjøbing landbobank ;27,5;4,4;1;1
2002;Ringkjøbing landbobank ;22,9;3,9;1;1
2001;Ringkjøbing landbobank ;20,3;3,4;1;1
2000;Ringkjøbing landbobank ;20,4;3,6;1;1
1999;Ringkjøbing landbobank ;15,2;2,7;1;1
2018;Saxo Bank;20,2;2,8;1;1
2017;Saxo Bank;12,5;1,3;0;1
2016;Saxo Bank;10,2;1,1;0;1
2015;Saxo Bank;-19,1;-2,2;0;0
2014;Saxo Bank;14,6;1,8;1;1
2013;Saxo Bank;7,2;0,9;0;0
2012;Saxo Bank;4,6;0,6;0;0
2011;Saxo Bank;27,7;3,4;1;1
2010;Saxo Bank;35,1;4,9;1;1
2009;Saxo Bank;14,3;2,1;1;1
2008;Saxo Bank;37,4;4,6;1;1
2007;Saxo Bank;47,9;4,5;1;1
2006;Saxo Bank;53,4;3,9;1;1
2005;Saxo Bank;81,1;6,3;1;1
2004;Saxo Bank;97,5;6,9;1;1
2003;Saxo Bank;69,0;4,9;1;1
2002;Saxo Bank;36,1;3,7;1;1
2001;Saxo Bank;23,8;2,7;1;1
2000;Saxo Bank;49,5;5,1;1;1
1999;Saxo Bank;77,4;8,1;1;1
2018;Vestjysk bank;9,5;1,1;0;1
2017;Vestjysk bank;8,5;0,8;0;0
2016;Vestjysk bank;5,7;0,4;0;0
2015;Vestjysk bank;3,6;0,2;0;0
2014;Vestjysk bank;-17,0;-0,8;0;0
2013;Vestjysk bank;-47,1;-1,5;0;0
2012;Vestjysk bank;-84,3;-3,7;0;0
2011;Vestjysk bank;-28,7;-1,8;0;0
2010;Vestjysk bank;0,5;0,0;0;0
2009;Vestjysk bank;-3,8;-0,3;0;0
2008;Vestjysk bank;13,0;1,0;0;1
2007;Vestjysk bank;17,3;1,8;1;1
2006;Vestjysk bank;20,3;2,4;1;1
2005;Vestjysk bank;17,9;2,4;1;1
2004;Vestjysk bank;15,9;2,3;1;1
2003;Vestjysk bank;22,0;3,2;1;1
2002;Vestjysk bank;13,8;1,6;1;1
2001;Vestjysk bank;18,3;1,5;1;1
2000;Vestjysk bank;27,2;2,2;1;1
1999;Vestjysk bank;23,3;1,8;1;1
2018;Sparekassen kronjylland;7,4;1,2;0;1
2017;Sparekassen kronjylland;10,1;1,6;0;1
2016;Sparekassen kronjylland;8,7;1,3;0;1
2015;Sparekassen kronjylland;8,7;1,4;0;1
2014;Sparekassen kronjylland;5,3;0,8;0;0
2013;Sparekassen kronjylland;6,5;0,9;0;0
2012;Sparekassen kronjylland;6,6;1,0;0;0
2011;Sparekassen kronjylland;-1,2;-0,2;0;0
2010;Sparekassen kronjylland;0,6;0,1;0;0
2009;Sparekassen kronjylland;-0,6;-0,1;0;0
2008;Sparekassen kronjylland;-8,6;-1,6;0;0
2007;Sparekassen kronjylland;13,1;2,8;0;1
2006;Sparekassen kronjylland;13,9;2,9;1;1
2005;Sparekassen kronjylland;16,4;3,2;1;1
2004;Sparekassen kronjylland;11,6;2,2;0;1
2003;Sparekassen kronjylland;19,7;3,8;1;1
2002;Sparekassen kronjylland;7,2;1,2;0;1
2001;Sparekassen kronjylland;6,3;1,0;0;1
2000;Sparekassen kronjylland;8,9;1,5;0;1
1999;Sparekassen kronjylland;7,4;1,2;0;1
